operatorId,lineId,dayOfWeek
OP001,line1,MO
OP001,line1,TU
OP001,line1,WE
OP001,line1,TH
OP001,line1,FR
OP002,line1,MO
OP002,line1,TU
OP002,line1,WE
OP002,line2,TH
OP002,line2,FR
OP003,line2,MO
OP003,line2,TU
OP003,line1,WE
OP003,line1,TH
OP003,line1,FR
OP004,line2,MO
OP004,line2,TU
OP004,line2,WE
OP004,line2,TH
OP004,line2,FR
OP005,line2,MO
OP005,line2,TU
OP005,line2,WE
OP005,line3,TH
OP005,line3,FR
OP006,line3,MO
OP006,line3,TU
OP006,line2,WE
OP006,line2,TH
OP006,line2,FR
OP007,line3,MO
OP007,line3,TU
OP007,line1,WE
OP007,line1,TH
OP007,line1,FR
OP008,line3,MO
OP008,line3,TU
OP008,line2,WE
OP008,line2,TH
OP008,line2,FR
OP009,line3,MO
OP009,line3,TU
OP009,line3,WE
OP009,line3,TH
OP009,line3,FR
OP010,line2,MO
OP010,line2,TU
OP010,line3,WE
OP010,line3,TH
OP010,line3,FR
OP011,line3,MO
OP011,line3,TU
OP011,line3,WE
OP011,line2,TH
OP011,line2,FR
