id,operatorId,lineId,dayOfWeek
1, OP001,line1,MO
2, OP001,line1,TU
3, OP001,line1,WE
4, OP001,line1,TH
5, OP001,line1,FR
6, OP002,line1,MO
7, OP002,line1,TU
8, OP002,line1,WE
9, OP002,line2,TH
10, OP002,line2,FR
11, OP003,line2,MO
12, OP003,line2,TU
13, OP003,line1,WE
14, OP003,line1,TH
15, OP003,line1,FR
16, OP004,line2,MO
17, OP004,line2,TU
18, OP004,line2,WE
19, OP004,line2,TH
20, OP004,line2,FR
21, OP005,line2,MO
22, OP005,line2,TU
23, OP005,line2,WE
24, OP005,line3,TH
25, OP005,line3,FR
26, OP006,line3,MO
27, OP006,line3,TU
28, OP006,line2,WE
29, OP006,line2,TH
30, OP006,line2,FR
31, OP007,line3,MO
32, OP007,line3,TU
33, OP007,line1,WE
34, OP007,line1,TH
35, OP007,line1,FR
36, OP008,line3,MO
37, OP008,line3,TU
38, OP008,line2,WE
39, OP008,line2,TH
40, OP008,line2,FR
41, OP009,line3,MO
42, OP009,line3,TU
43, OP009,line3,WE
44, OP009,line3,TH
45, OP009,line3,FR
46, OP010,line1,MO
47, OP010,line1,TU
48, OP010,line3,WE
49, OP010,line3,TH
50, OP010,line3,FR
51, OP011,line3,MO
52, OP011,line3,TU
53, OP011,line3,WE
54, OP011,line1,TH
55, OP011,line1,FR
